"id-missouri-mo_vtds20-34-StateSenateDistricts",assignment
29019000025,0
29019000033,0
2901900006D,0
2901900003E,0
2901916-03M,0
29019000034,0
2901916-06J,0
29019000023,0
2901900003F,0
2901916-03N,0
29019000041,0
2901916-03J,0
2901900003C,0
2901916-03I,0
2901900003B,0
2901916-03L,0
29019000017,0
29019000028,0
2901900006I,0
2901900006G,0
2901900006H,0
2901900006C,0
2901916-03H,0
2901916-06L,0
2901900006B,0
2901900001E,0
2901900006A,0
2901900003D,0
2901900001B,0
2901916-01M,0
2901900005C,0
2901900005H,0
2901900005G,0
2901900006F,0
2901900005A,0
2901900001I,0
2901900004F,0
2901900004I,0
2901900001C,0
2901900004E,0
2901900004H,0
2901900004D,0
2901900004C,0
2901900005E,0
2901916-044,0
29019000036,0
2901900004A,0
2901900005L,0
2901916-04M,0
2901900004G,0
2901900004J,0
2901916-01L,0
2901900004L,0
2901900004K,0
2901900004B,0
29019000021,0
29019000037,0
2901900002J,0
2901900001A,0
2901900002B,0
2901900002C,0
2901900003A,0
2901916-03G,0
29019000040,0
2901916-045,0
2901900002H,0
2901900001D,0
2901900002G,0
2901900001G,0
2901900002A,0
2901900002F,0
2901900001F,0
2901916-02L,0
2901916-01J,0
2901900002D,0
2901900002I,0
29019000022,0
29019000015,0
2901916-01K,0
2901900002K,0
29019000020,0
29019000016,0
29019000039,0
29019000007,0
29019000038,0
29019000019,0
29019000027,0
2901916-05N,0
29019000026,0
29019000029,0
29019000032,0
29019000031,0
29019000030,0
29019000035,0
29019000042,0
2901916-043,0
29019000018,0
29019000008,0
29019000010,0
29019000011,0
29019000012,0
29019000009,0
2901900005K,0
2901916-05P,0
2901900005B,0
2901900005M,0
2901900005I,0
2901900005F,0
2901900005J,0
2901900006E,0
2901916-06M,0
2901916-06K,0
2901900005D,0
29019000024,0
29145000016,1
29145000018,1
29145000014,1
29145000012,1
29145000006,1
29145000004,1
29145000010,1
29145000015,1
29145000009,1
29145000007,1
2914516-021,1
2914516-027,1
2914516-028,1
29145000017,1
29145000005,1
29145000011,1
29145000003,1
2914516-029,1
29145000013,1
2914516-030,1
2914516-032,1
29145000002,1
29145000008,1
29097000008,1
29097000009,1
29097000042,1
29097000035,1
29097000010,1
29097000007,1
29097000011,1
29097000034,1
29097000032,1
29097000012,1
29097000014,1
29097000033,1
29097000041,1
29097000004,1
2909716-004,1
29097000036,1
29097000030,1
29097000047,1
29097000019,1
29097000005,1
29097000043,1
29097000017,1
29097000021,1
29097000016,1
29097000023,1
29097000018,1
29097000020,1
29097000022,1
29097000029,1
2909716-026,1
29097000044,1
29097000045,1
29097000027,1
29097000006,1
29097000024,1
29097000040,1
29097000026,1
29097000013,1
29097000046,1
29097000031,1
29097000038,1
29097000003,1
29097000002,1
29097000037,1
29097000015,1
29077000086,2
29077000095,2
29077000088,2
29077000094,2
29077000090,2
29077000019,2
29077000005,2
29077000025,2
29077000006,2
29077000027,2
29077000092,2
29077000007,2
29077000029,2
29077000028,2
29077000026,2
29077000071,2
29077000024,2
29077000020,2
29077000032,2
29077000030,2
29077000023,2
29077000022,2
29077000044,2
29077000031,2
29077000042,2
29077000021,2
29077000045,2
29077000003,2
29077000004,2
29077000047,2
29077000010,2
29077000046,2
29077000008,2
29077000009,2
29077000062,2
29077000083,2
29077000081,2
29077000084,2
29077000049,2
29077000076,2
29077000082,2
29077000052,2
29077000053,2
29077000033,2
29077000068,2
29077000085,2
29077000069,2
29077000087,2
29077000089,2
29077000057,2
29077000091,2
29077000093,2
29077000038,2
29077000039,2
29077000056,2
29077000078,2
29077000079,2
29077000054,2
29077000080,2
29077000073,2
29077000074,2
29077000077,2
29077000100,2
29077000075,2
29077000065,2
