,ces,splits,swings,agg_props
0,891,36,6,9
1,892,32,6,9
2,869,24,6,9
3,778,24,4,12
4,787,24,6,8
5,772,24,6,8
6,796,22,6,8
7,879,21,6,14
8,788,21,6,12
9,768,21,5,13
10,769,18,6,13
11,822,18,6,15
12,866,19,6,15
13,850,17,6,15
14,880,17,5,3
15,837,16,5,2
16,837,15,5,2
17,752,15,6,13
18,769,15,6,13
19,775,12,6,13
20,765,12,6,13
21,783,13,6,13
22,755,13,5,15
23,779,13,5,8
24,777,13,5,8
25,800,13,6,8
26,755,12,5,1
27,771,12,5,4
28,771,12,5,4
29,787,12,5,4
30,801,12,5,4
31,745,12,5,9
32,768,12,4,16
33,771,12,4,16
34,764,12,4,16
35,773,12,3,21
36,778,12,3,21
37,758,12,3,18
38,805,12,2,9
39,769,12,2,9
40,769,12,2,9
41,753,12,1,8
42,738,12,1,8
43,747,12,1,8
44,774,12,2,7
45,697,12,1,8
46,705,10,1,8
47,735,10,1,8
48,770,10,2,3
49,770,10,2,3
50,766,7,2,3
51,776,8,2,3
52,752,8,3,2
53,768,7,3,2
54,752,7,3,-3
55,739,6,4,-4
56,696,5,4,-4
57,706,5,3,-3
58,707,6,3,-2
59,707,6,3,-2
60,721,6,3,-2
61,718,6,2,8
62,679,6,2,8
63,664,6,2,8
64,694,6,2,8
65,679,5,2,7
66,679,5,2,7
67,687,5,2,7
68,684,5,2,7
69,701,5,2,7
70,712,6,2,7
71,729,6,2,8
72,729,6,2,8
73,740,7,2,8
74,715,7,3,7
75,704,6,3,7
76,715,6,3,7
77,715,6,3,7
78,685,6,3,7
79,662,6,3,7
80,650,6,3,7
81,657,6,3,7
82,664,7,3,8
83,664,7,3,8
84,636,7,4,13
85,625,6,4,13
86,618,7,3,14
87,660,7,2,9
88,655,7,2,9
89,696,7,2,9
90,743,6,3,19
91,759,7,3,18
92,752,7,3,13
93,752,7,3,13
94,752,7,4,12
95,780,7,3,13
96,777,7,3,13
97,772,7,3,13
98,727,7,3,13
99,726,7,4,12
100,726,7,4,12
101,702,7,5,14
102,686,6,5,15
103,723,6,5,15
104,713,5,5,15
105,719,5,5,11
106,719,5,5,11
107,726,5,5,11
108,740,5,5,15
109,749,5,5,15
110,749,5,5,15
111,730,6,3,8
112,695,7,3,8
113,633,7,3,8
114,634,7,3,8
115,631,7,3,8
116,631,7,3,8
117,660,7,3,8
118,660,7,3,8
119,660,7,3,8
120,660,7,3,8
121,660,7,3,8
122,641,7,3,8
123,631,7,3,8
124,631,7,3,8
125,654,7,3,8
126,659,7,3,8
127,662,8,3,8
128,657,8,3,8
129,665,8,3,8
130,665,8,3,8
131,653,8,3,8
132,680,8,3,8
133,662,8,3,8
134,639,8,3,8
135,631,8,3,8
136,639,8,3,8
137,639,8,3,8
138,639,8,3,8
139,632,8,3,8
140,632,8,3,8
141,632,8,3,8
142,632,8,3,8
143,627,8,3,8
144,642,8,3,8
145,652,8,3,8
146,652,8,3,8
147,708,7,5,17
148,708,7,5,17
149,708,7,5,17
150,696,7,5,9
151,665,8,3,8
152,699,8,4,7
153,680,8,4,4
154,695,8,4,7
155,695,8,4,7
156,700,8,4,7
157,700,8,4,7
158,700,8,4,7
159,696,8,4,7
160,710,6,4,7
161,700,6,4,7
162,652,6,3,8
163,648,6,3,8
164,648,6,3,8
165,659,6,3,8
166,691,5,2,9
167,720,5,2,9
168,722,6,2,9
169,681,6,3,8
170,681,6,3,8
171,681,6,3,8
172,681,6,3,8
173,647,5,3,8
174,647,5,3,8
175,671,6,3,8
176,675,7,3,8
177,695,7,3,8
178,691,6,3,8
179,689,6,3,8
180,665,5,3,8
181,693,5,4,3
182,691,6,4,3
183,691,6,4,3
184,691,6,4,3
185,662,6,4,3
186,661,6,5,9
187,668,7,5,13
188,668,7,5,13
189,692,8,5,13
190,720,8,5,8
191,762,8,4,9
192,762,8,4,9
193,763,8,3,15
194,775,8,3,15
195,773,8,3,15
196,773,8,3,15
197,782,7,3,15
198,770,7,3,15
199,738,7,4,2
200,702,5,4,2
201,742,6,4,2
202,739,6,4,4
203,739,6,4,4
204,729,6,3,3
205,747,6,3,10
206,752,6,3,10
207,712,5,3,10
208,712,6,3,10
