GEOID20,assignment
29095000132,1
29095000134,1
29095000356,1
29095000256,1
29095000247,1
29095000265,1
29095000272,1
29095000270,1
29095000268,1
29095000350,1
29095000136,1
29095BRNO06,1
29095000241,1
29095000369,1
29095000258,1
29095000462,1
29095000518,1
29095K16804,1
29095000482,1
29095000490,1
29095000491,1
29095K16913,1
29095000455,1
29095000476,1
29095000097,1
29095000154,1
29095000456,1
29095000238,1
29095K16419,1
29095000302,1
29095000474,1
29095000379,1
29095000440,1
29095000250,1
29095K16512,1
29095000450,1
29095000435,1
29095BR1619,1
29095000457,1
29095000264,1
29095000382,1
29095KC2430,1
29095K16811,1
29095000452,1
29095000245,1
29095000496,1
29095000246,1
29095000426,1
29095000441,1
29095000448,1
29095000446,1
29095000424,1
29095000243,1
29095000221,1
29095000454,1
29095000488,1
29095000479,1
29095000495,1
29095000160,1
29095000492,1
29095000483,1
29095000484,1
29095000497,1
29095000447,1
29095K16815,1
29095K16615,1
29095000429,1
29095000475,1
29095000239,1
29095000425,1
29095000413,1
29095000439,1
29095000436,1
29095000451,1
29095000431,1
29095000432,1
29095000412,1
29095000421,1
29095000458,1
29095000434,1
29095000470,1
29095000232,1
29095000224,1
29095000233,1
29095000469,1
29095000493,1
29095000478,1
29095000489,1
29095000494,1
29095K16513,1
29095000443,1
29095000453,1
29095000417,1
29095000463,1
29095000477,1
29095K16207,1
29095000471,1
29095000433,1
29095KC1042,1
29095KC2312,1
29095000229,1
29095000234,1
29095000248,1
29095000366,1
29095000235,1
29095000280,1
29095000279,1
29095000236,1
29095000361,1
29095000480,1
29095000485,1
29095K16903,1
29095K16611,1
29095000419,1
29095K16814,1
29095000420,1
29095000423,1
29095000460,1
29095000461,1
29095000081,1
29095000442,1
29095000418,1
29095000430,1
29095000449,1
29095000444,1
29095000464,1
29095000228,1
29095000349,1
29095000343,1
29095000090,1
29095000249,1
29095000084,1
29095KC1520,1
29095000092,1
29095000082,1
29095K16459,1
29095K16463,1
29095k16429,1
29095K16439,1
29095K16449,1
29095K16457,1
29095K16469,1
29095K16467,1
29095000341,1
29095000091,1
29095000223,1
29095000227,1
29095BR1613,1
29095KC2428,1
29095000365,1
29095KC2419,1
29095000261,1
29095BR1610,1
29095000116,1
29095000359,1
29095000383,1
29095000263,1
29095000259,1
29095000130,1
29095000340,1
29095000230,1
29095000373,1
29095000131,1
29095BR1608,1
29095KC1515,1
29095000481,1
29095000459,1
29095000342,1
29095000222,1
29095KC2301,1
29095KC2403,1
29095000358,1
29095BR1612,1
29095BR1620,1
29095000244,1
29095000257,1
29095KC1607,1
29095000254,1
29095000273,1
29095000271,1
29095000266,1
29095000267,1
29095000269,1
29095000109,1
29095000242,1
29095000255,1
29095000253,1
29095KC2414,1
29095KC2427,1
29095000467,1
29095000231,1
29095000363,1
29095000378,1
29095K16718,1
29095000128,1
29095000123,1
29095000276,1
29095000120,1
29095000251,1
29095000355,1
29095000360,1
29095000364,1
